name,耗时,做法,口味,工艺,类型,label,id,难度,图片
白萝卜丝肉丝卤面,半小时,1:白萝卜洗净，削皮，切丝。2:肉丝备用。3:肉丝加入少许料酒和老抽腌制五分钟即可。4:蒜切片，干辣椒切段，姜切丝。5:挂面备用。6:水开，上笼蒸15分钟，已蒸好。7:锅烧热放适量油，倒入肉丝煸炒一下，再倒入辣椒、蒜和姜炒香，继续倒入白萝卜丝加适量盐、少许老抽和五香粉调味，翻炒几下。8:加适量水刚刚没过锅里的食材，大火翻炒一分钟即可。9:把蒸熟的面条倒在菜上，如图所示。 。10:用筷子搅拌均匀，如图所示。11:水开，上笼蒸十分钟。12:已蒸好。13:即可出锅。14:装盘即食。15:香而筋道。,五香,卤,面条,recipe,15,简单,https://i8.meishichina.com/attachment/recipe/2021/12/12/20211212163925815306813312270318.jpg?x-oss-process=style/p800
肉末炒毛豆米,廿分钟,1:将猪肉剁成肉末，装入碗中。2:加入料酒、生抽、食用油。3:加入少许盐。4:一勺淀粉。5:搅拌均匀腌制十五分钟。6:毛豆米清洗干净。7:胡萝卜去皮切丁。8:大蒜去衣切沫，葱切段。9:起锅烧水，水开倒入毛豆米和胡萝卜丁绰水。10:捞出过凉水，沥干水分待用。11:热锅下油，倒入蒜末爆香。12:放入两勺豆瓣酱炒出红油。13:倒入肉末翻炒。14:倒入毛豆米和胡萝卜翻炒。15:加入适量清水煮至汤汁变浓，出锅前撒入葱段即可。16:一道美味下饭菜就做好了～。,酱香,炒,热菜,recipe,16,简单,https://i8.meishichina.com/attachment/recipe/2021/12/11/20211211163923826741068612864764.jpg?x-oss-process=style/p800
鸡丁肉酱螺丝意面,半小时,1:准备主要食材：意大利螺丝面，洋葱，番茄，大蒜，鸡胸肉。2:鸡肉切小丁，番茄去皮切块，洋葱大蒜切碎。3:鸡肉丁中放盐，白胡椒粉，玉米淀粉，一勺味极鲜酱油，最后放一勺食用油混合均匀，腌制十分钟。4:另外起锅，放入适量的水，加盐，油，水开后放入螺丝意面煮15-20分钟。5:煮面期间制作肉酱：锅中加少许底油，放鸡丁翻炒变色盛出来备用。6:锅中放黄油融化。7:加大蒜洋葱碎煸炒变软。8:放番茄翻炒，加少许水煮一分钟。9:加盐，糖，黑胡椒碎，一勺臻品蚝油，两勺味极鲜酱油。10:煮十几秒。11:把煮好的螺丝意面捞出来放入肉酱中，翻拌均匀关火。12:好吃的鸡丁肉酱螺丝意面制作完成，中西结合，别有一番风味。,怪味,烧,面条,recipe,17,普通,https://i8.meishichina.com/attachment/recipe/2021/12/11/20211211163923488402695010904953.jpg?x-oss-process=style/p800
平菇韭菜炒肉,十分钟,1:平菇掰开、洗净、焯水、备用～韭菜洗净切段备用。2:热油～葱爆香～五花肉炒香。3:先放入平菇翻炒均匀～再放入韭菜翻炒均匀。4:炒至韭菜变软～加入生抽（可多加，就不用再加盐了）～少许鸡精调味。5:请用餐😊。,咸鲜,炒,热菜,recipe,18,简单,https://i8.meishichina.com/attachment/recipe/2021/12/04/20211204163862307960797510910412.jpg?x-oss-process=style/p800
豌豆炒腊肠,十分钟,1:腊肠放入锅中蒸熟。2:取出切丁。3:玉米掰下来清洗干净待用。4:豌豆清洗干净待用。5:大蒜切沫。6:水开倒入豌豆和玉米焯水。7:热锅下油，倒入腊肠丁炒香盛出。8:再热锅下油，倒入蒜末炒香。9:倒入豌豆玉米粒翻炒均匀。10:加入少许盐。11:倒入腊肠丁。12:翻炒均匀即可。13:一道豌豆炒腊肠就做好啦～。,蒜香,炒,热菜,recipe,19,简单,https://i8.meishichina.com/attachment/recipe/2021/12/11/20211211163922693025866612864764.jpg?x-oss-process=style/p800
猪油,半小时,1:肥猪肉切块放料酒焯水。2:抄过水的猪油加适量清水大火把水分熬干。3:熬干水分加入葱姜小火继续熬。4:小火慢慢在出油，非常清澈。5:把肥肉熬黄捞出。6:肥肉块。7:容器放几个黄豆，倒入猪油。8:放凉冷却好的猪油。9:雪白雪白。10:猪油特别香。,咸鲜,烧,家常菜,recipe,20,简单,https://i8.meishichina.com/attachment/recipe/2021/12/11/20211211163922585641727110882460.JPG?x-oss-process=style/p800
香辣炒猪肝,十分钟,1:配料切好。2:猪肝切薄片清洗三次。3:热油。4:下猪肝爆炒。5:放米酒大葱辣椒。6:炒熟调味。7:成品。,微辣,炒,热菜,recipe,21,高级,https://i8.meishichina.com/attachment/recipe/2021/12/13/20211213163935894428531310427913.jpg?x-oss-process=style/p800
青菜山药炒虾仁,十分钟,1:鲜虾剥壳，挑去虾线，加盐、料酒拌匀放置10分钟。2:锅中放油，放入姜片、虾仁两面煎黄盛岀。3:乌油冬切寸段，胡萝卜、山药切片。4:先后放入胡萝卜、青菜、山药翻炒，加少许水烧几分钟。5:合入炒好的虾仁，加盐、蚝油调味。6:快手美味小炒出锅啦。,咸鲜,炒,热菜,recipe,22,普通,https://i8.meishichina.com/attachment/recipe/2021/12/13/2021121316393588481446328451954.jpg?x-oss-process=style/p800
蒜蓉蒸鲍鱼,廿分钟,1:鲍鱼杀好洗净。用勺子从鲍鱼嘴的方向顶到底，向下用力挖，把整个鲍鱼肉体挖出，清洗干净。2:在鲍鱼正面横竖改十字花刀，并将改好刀的鲍鱼放回壳内摆盘。3:大蒜剥皮放入拉蒜器拉碎。4:锅中放入菜籽油开小火，加入碎蒜粒、生抽、蚝油、白砂糖，小火炒至料汁冒泡。5:将炒好的料汁均匀的盖在鲍鱼上，蒸锅烧开水，鲍鱼大火入蒸锅蒸10分钟即可出锅。,咸鲜,蒸,家常菜,recipe,23,简单,https://i8.meishichina.com/attachment/recipe/2021/12/13/20211213163935823042782510017278.JPG?x-oss-process=style/p800
干焖辣鱼块,十分钟,1:配料切好。2:鱼砍小块。3:热油煎鱼。4:放配料。5:放米酒焖。6:焖几分钟调味。7:关火再焖一下。8:成品。,微辣,焖,热菜,recipe,24,高级,https://i8.meishichina.com/attachment/recipe/2021/12/13/20211213163935514386650710427913.jpg?x-oss-process=style/p800
干锅肥肠虾,三刻钟,1:土豆去皮洗净切条。2:切葱姜。3:切洋葱和香菜。4:大虾处理干。5:取卤好的肥肠。6:热锅冷油。7:油热放土豆条。8:炸熟。9:捞出。10:放大虾炸熟捞出。11:锅留底油，放葱姜和洋葱翻炒均匀放大虾。12:放食盐。13:放花椒八角炒均匀。14:放生抽老抽。15:放大肠。16:翻炒均匀。17:放土豆条炒均匀。18:放洋葱芽和香菜。19:炒均匀即可。20:起锅装盘。21:成品。,咸鲜,爆,热菜,recipe,25,简单,https://i8.meishichina.com/attachment/recipe/2021/12/13/2021121316393577409666781806550.jpg?x-oss-process=style/p800
蚝油鸡蛋,十分钟,1:鸡蛋打散。2:热油煎。3:放盐放蚝油。4:成品。,甜味,炒,热菜,recipe,26,高级,https://i8.meishichina.com/attachment/recipe/2021/12/13/20211213163935464173043310427913.jpg?x-oss-process=style/p800
快速蛋挞,半小时,1:鸡蛋2个加白糖30克加温水125ml，搅匀，加牛奶62克，炼乳7克，低筋面粉7克，蜂蜜5克，搅拌匀。2:倒入蛋挞托里面，全倒满。3:还可以适量加些黄桃。4:220度预热10分钟，中层，220度烤25分钟。,甜味,烤,烘焙,recipe,27,简单,https://i8.meishichina.com/attachment/recipe/2021/08/16/202108161629099980989740230225.jpg?x-oss-process=style/p800
肉末鸡蛋蒸豆腐,廿分钟,1:五花肉剁碎装入碗中。2:放入一勺料酒和油。3:一勺生抽。4:适量淀粉。5:抓拌均匀腌制十分钟。6:玉子豆腐切片码入盘中。7:将肉末倒入盘中。8:磕入一个鸡蛋。9:水开上锅蒸十分钟。10:取出倒入两勺蒸鱼豉油。11:一勺香油。12:适量葱花。13:一道肉末鸡蛋蒸豆腐就做好了～。14:嫩嫩的，美味～～。,清淡,蒸,热菜,recipe,28,简单,https://i8.meishichina.com/attachment/recipe/2021/12/13/20211213163932481379213712864764.jpg?x-oss-process=style/p800
核桃蔓越莓软欧包,数小时,,原味,烤,烘焙,recipe,29,简单,https://i8.meishichina.com/attachment/recipe/2021/12/12/20211212163931785164019410707309.jpg?x-oss-process=style/p800
清汤羊肉,一小时,1:羊肉清洗干净后， 用清水浸泡一个小时。 。2:羊内凉水入锅，放入料酒、 姜，焯水去除膻味。3:羊肉捞起后，用温水清洗表面的浮沫。 。4:起锅热油，炒香姜块 。5:倒入羊肉翻炒 。6:将水分炒干 ，炒至表面微黄 。7:转入高压锅 ，放入盐和胡椒粉。8:倒入开水，大火炖煮十分钟后， 转小火再炖十分钟 。。9:羊肉炖煮的时间，处理一下萝卜 ，萝卜削皮，再准备适量的芹菜和姜。 。10:萝卜切厚块 ，姜切片 ，芹菜切段 。11:萝卜和姜片放入汤锅，加入适量的饮用水 。12:煮至软绵 。13:羊肉也炖煮好了 。14:把羊肉和汤汁一起倒入萝卜汤内，小火炖煮半个小时 。15:羊肉汤已经炖好了 ，加入鸡精 ，撒上芹菜叶即可 。16:成品。天冷来锅热汤暖身，最合适不过了。,原味,炖,热菜,recipe,30,简单,https://i8.meishichina.com/attachment/recipe/2021/12/12/2021121216393171332749937796837.jpg?x-oss-process=style/p800
家常时蔬酸汤素饺,半小时,1:鸡蛋炒熟，豆腐切小粒煎至金黄，葱姜分别切碎备用。2:红薯粉条烫软过凉切小段，胡萝卜、包菜、鸡蛋切碎。3:炒锅里倒入适量的食用油，放入葱姜翻炒出香味，加入生抽。4:加入蚝油。5:加入酱油。6:翻炒均匀，葱油就做好了。7:把葱油倒入切好的配菜中。8:加入盐，芝麻油，翻拌均匀，饺子馅就做好了。9:和适量的面团擀皮包好饺子。10:碗里放入盐、香菜、虾皮、加入生抽和米醋。11:盛入煮好的饺子加适量的饺子汤，再淋少许芝麻油和辣椒油即可。12:成品图，鲜美可口，酸香入味！。13:超级好吃！。,咸鲜,煮,主食,recipe,31,简单,https://i8.meishichina.com/attachment/recipe/2021/12/12/2021121216392941290642808624626.jpg?x-oss-process=style/p800
葱香油饼,数小时,1:主料中所有材料混合，用筷子搅拌均匀。合成面团。再加玉米油揉匀，盖上保鲜膜，放冰箱冷藏一夜发酵。以上为早上面发好的情况。2:面团从冰箱取出，放3克小苏打，揉匀。3:放上香葱段，再揉匀。4:面团再盖上保鲜膜，二次醒发。5:台面上放油纸，面团扯成小份。6:锅预热，放油，六成热后改小火。7:面团扯薄，放入油锅中。8:两面炸黄。9:一个一个炸，炸好放厨房纸上。凉一下就可以享用了。,咸香,炸,小吃,recipe,32,普通,https://i8.meishichina.com/attachment/recipe/2021/12/12/20211212163927228403621811138610.jpg?x-oss-process=style/p800
五花肉烧素鸡,十分钟,1:热油锅、放入素鸡煎至两面金黄色盛出。2:另起锅、下五花肉翻炒两分钟至表面微黄。3:下姜干辣椒、八角翻炒。4:加料酒、生抽、老抽。5:放入煎好的素鸡，加水。6:半勺盐。7:盖盖煮至汤汁收干，一点鸡精提味。,咸鲜,烧,热菜,recipe,33,简单,https://i8.meishichina.com/attachment/recipe/2021/11/04/20211104163599827231833810121381.JPG?x-oss-process=style/p800
红烧牛排骨,半小时,1:牛排骨清水浸泡半小时。2:冷水下锅加入料酒焯水。3:锅中热油加入冰糖。4:倒入牛排骨。5:翻炒均匀加入红烧酱油辣椒。6:加入温水卤料包转入电压力锅中25分钟。7:再倒入锅中收汁。8:加入盐 椒盐调味即可。9:装盘。,咸香,烧,热菜,recipe,34,简单,https://i8.meishichina.com/attachment/recipe/2021/12/12/2021121216392907886228817708277.jpg?x-oss-process=style/p800
茄子面,半小时,1:准备所需食材。2:将茄子去皮切成茄子丁，放入碗中加入一勺食盐搅拌均匀腌制10分钟（去皮是为了减少茄子的苦涩味，加盐是防止茄子氧化变黑，同时也减少茄子的苦涩味）。3:再准备半个洋葱切成薄片，切成洋葱丁，同时将五花肉切成小肉丁。4:再调个料汁，一勺生抽、一勺陈醋、一勺老抽提色、一勺料酒、一勺盐、一勺白糖提鲜，再加入一勺淀粉，然后倒入清水，搅拌均匀备用。5:把腌制好的茄子水分挤出来备用。6:锅烧至微热无需加油，倒入肉丁小火翻炒，炒出五花肉的油脂，炒至肉丁微微发黄。7:再加入洋葱，翻炒出香味。8:炒香之后加一勺黄豆酱，炒出酱香味。9:再把茄子加进来，翻炒两分钟。10:然后把调好的料汁加进来，翻炒均匀，然后盖上盖子闷3分钟。11:出锅前撒上两瓣蒜就可以出锅了。,五香,炒,面条,recipe,35,普通,https://i8.meishichina.com/attachment/recipe/2021/12/12/20211212163928967860714912787171.jpg?x-oss-process=style/p800
圣诞花环曲奇-先给今年辛苦的你,半小时,1:称重，低筋面粉90克+4克抹茶粉。2:糖粉45克。3:黄油82克，室温软化，20克蛋白备用。4:黄油软化到筷子可以轻松插入即可。5:打蛋器打散黄油，倒入糖粉。6:加入蛋白和3滴香草精，继续打发，直至黄油变白。7:筛入低筋面粉及抹茶粉。8:搅拌均匀。9:裱花袋备用。10:烤箱预热150度，烤20分钟。11:出锅，晾凉。12:巧克力隔水软化。13:化开之后即可使用。14:用勺子铺匀或者直接饼干蘸取。15:再蘸取小糖珠。16:哇，是不是很有胃口哦，叫上家人朋友快来享用吧。,甜味,烤,烘焙,recipe,36,简单,https://i8.meishichina.com/attachment/recipe/2021/12/12/20211212163928861760143312364759.jpeg?x-oss-process=style/p800
煎牛排,十分钟,1:西冷牛排解冻好备用。2:西兰花洗净改刀备用。3:热锅入油，放入牛排煎两分钟，煎好一面再翻面煎两分钟。4:煎至两面至熟即可。5:汤锅里加水烧开，加入适量盐，下西兰花焯水煮一分钟，捞出沥干装盘。6:成品图。7:成品图。,咸香,煎,热菜,recipe,37,普通,https://i8.meishichina.com/attachment/recipe/2021/12/12/20211212163928851699867310885274.JPG?x-oss-process=style/p800
自制蛋挞,半小时,1:准备所需食材。2:碗中倒入200克温牛奶。3:在牛奶中打入两个鸡蛋，放入30克白糖。4:搅拌均匀。5:过筛两遍。6:过筛两遍。7:将搅拌好的蛋液倒入蛋挞皮中。8:烤箱预热210度烤18分钟。9:外酥里嫩，跟外面买的一样好吃！~。,果味,烤,烘焙,recipe,38,普通,https://i8.meishichina.com/attachment/recipe/2021/12/12/20211212163928818110513912787171.jpg?x-oss-process=style/p800
四季豆炒肉末,半小时,1:酿青椒剩下的肉末备用。2:四季豆洗净切细。3:锅中热油放入肉末翻炒炒散。4:炒至肉沫有少许焦香。5:加入适量蚝油翻炒炒香。6:放入四季豆翻炒，少许盐调味。7:炒至四季豆断生即可。8:成品。9:成品。10:成品。,原味,炒,热菜,recipe,39,简单,https://i8.meishichina.com/attachment/recipe/2021/10/14/2021101416341935117557158010238.JPG?x-oss-process=style/p800
家常焖小黄花,半小时,1:鱼处理干净。2:切葱姜备用。3:热锅冷油。4:油热放鱼进来煎。5:一面定型就翻面。6:烹入菠萝酒。7:烹入陈醋。8:放食盐。9:翻面撒葱姜。10:放清水，水位约鱼身的一半。11:中小火焖煮 至汤汁不多。12:起锅装盘。13:鱼汤放鸡精。14:把汤汁浇在鱼身上，撒葱花即可。15:成品。,咸鲜,焖,热菜,recipe,40,简单,https://i8.meishichina.com/attachment/recipe/2021/12/11/2021121116392140965385931806550.jpg?x-oss-process=style/p800
奶油泡芙,半小时,1:60g水+30g黄油+5g糖+0.5g盐小火加热至沸腾。2:倒入35g低筋粉，搅匀出锅放至不烫手。3:少量多次加入全蛋液（约一个半、60g左右）。4:到提起刮刀有倒三角、顺滑的状态。5:装入裱花袋，记得用中号八齿裱花嘴。。6:烤盘铺油纸，开挤。要点：下手稳狠准、大小尽量相同、注意收的瞬间尽量压实。7:烤箱预热后，17度上下火，中层烤35分钟左右。具体时间根据泡芙大小决定。8:泡芙冷却后，打发奶油装裱花袋里，从泡芙底部挤满打发好的奶油。（没有打蛋器如何打发奶油可以看我上一篇菜谱）。9:成品图。,甜香,烤,烘焙,recipe,41,普通,https://i8.meishichina.com/attachment/recipe/2021/12/13/20211213163938429433469611170916.jpg?x-oss-process=style/p800
香肠炒青瓜,半小时,1:食材：香肠（已清洗）、青瓜（已清洗）。2:在炒锅里放入清水，搁入香肠盖上盖开锅蒸10分钟关火，开盖取出。3:晾凉。4:将青瓜放在案板上切成片。5:将晾凉好的香肠放在案板上切成片。6:起锅倒油烧热，下入切好的青瓜和香肠翻炒翻炒。7:然后，加适量的生抽。8:加适量的盐。9:加适量的味精。10:调味炒匀即成。,清淡,炒,热菜,recipe,42,简单,https://i8.meishichina.com/attachment/recipe/2021/12/14/202112141639445245308773404188.JPG?x-oss-process=style/p800
青花椒蒸鸡翅,数小时,1:用料：鸡翅中8个，葱1段，姜1小块，蒜2瓣，盐2克，青花椒粒3小撮，酱油1汤匙，料酒2小匙，蚝油2小匙，油适量。2:鸡翅背面划两刀，正面用牙签扎数，泡入清水中，反复揉搓，换几次水，清洗干净，沥干水分。3:葱切段，姜蒜切粗粒，盐，青花椒1小撮，酱油，料酒，蚝油，放入鸡翅中。4:抓拌均匀，冷藏腌制2小时。5:把腌制好的鸡翅平铺在容器中，蒸锅上汽之后放入，蒸15-20分钟。6:出锅。7:把鸡翅平铺摆进盘子内，倒入蒸鸡翅的汤水。8:表面撒1小撮青花椒。9:炒锅烧热入油转小火。10:放入1小撮青花椒，微炸。11:将热油均匀地淋在鸡翅上。12:趁热食用。,麻香,蒸,热菜,recipe,43,简单,https://i8.meishichina.com/attachment/recipe/2021/12/14/20211214163944440372671334360.jpg?x-oss-process=style/p800
