name,食材简介,食用功效,适用人群,禁忌人群,营养价值,类别,图片,label,id
蛋挞皮,蛋挞（Egg Tart），台湾称为蛋塔，挞为英文“tart”之音译，意指馅料外露的馅饼（相对表面被饼皮覆盖馅料密封之批派馅饼pie）；蛋挞即以蛋浆为馅料的“tart”。蛋挞皮即是表面的饼皮。,可以补充体能。,一般人群皆可食用。,高血脂高胆固醇者忌食。,"蛋挞皮富含脂肪，具有维持体温和保护内脏的作用，其还能提供必需脂肪酸，促进这些脂溶性维生素的吸收，增加饱腹感。此外，其富含铜，铜是人体健康不可缺少的微量营养素，对于血液、中枢神经和免疫系统，头发、皮肤和骨骼组织以及脑子和肝、心等内脏的发育和功能有重要影响。君之蛋挞皮中的脂肪含多量的磷脂质，包括卵黄蛋白，卵磷脂、甘油化物、固醇类及胆固醇等，其还含其他丰富的营养素，矿物质在蛋中以铁、硫、磷为最多。
蛋挞皮的营养价值高，适当地食用，还是对身体有一定的好处。可是要注意，蛋挞皮属于高热量的食物，食用时要适量，切记别贪吃。",米面豆乳,,material,114
四季豆,四季豆是为豆科一年生缠绕草本植物扁豆的种子。是老百姓餐桌上十分常见的蔬菜之一。,"1、增进食欲：四季豆中含有蛋白质和多种氨基酸，经常食用能健脾利胃，增进食欲。夏季多食四季豆能消暑，清口。
2、缓解缺铁性贫血：四季豆中含有丰富的维生素C和铁，经常食用对缺铁性贫血有益。
3、养胃下气：主治脾虚兼湿、食少便溏，湿浊下注、妇女带下过多，还可用于暑湿伤中、吐泻转筋等症。
4、利水消肿：有调和脏腑、安养精神、益气健脾、消暑化湿和利水消肿的功效。
5、强壮骨骼：虽然四季豆的钙含量不是太多，但是它含有大量的维生素K。维生素K能增加骨质疏松病人的骨密度，降低骨折的风险。",一般人群均可食用。,腹胀者忌食。,"富含蛋白质和多种氨基酸，常食可健脾胃，增进食欲。夏天多吃一些四季豆有消暑，清口的作用。四季豆种子可激活肿瘤病人淋巴细胞，产生免疫抗体，对癌细胞有非常特异的伤害与抑制作用，即有抗肿瘤作用。
",蔬菜,https://i3.meishichina.com/attachment/201512/1/144896175644.jpg,material,115
肉末,将动物肉切成的细末。,"1、补充蛋白质和脂肪酸：猪肉为人类提供优质蛋白质和必需的脂肪酸。猪肉可提供血红素(有机铁)和促进铁吸收的半胱氨酸，能改善缺铁性贫血。
2、补肾滋阴：猪肉性平味甘，有润肠胃、生津液、补肾气、解热毒的功效，主治热病伤津、消渴羸瘦、肾虚体弱、产后血虚、燥咳、便秘、补虚、滋阴、润燥、滋肝阴、润肌肤、利小便和止消渴。
3、润燥：猪肉煮汤饮下可急补由于津液不足引起的烦燥、干咳、便秘和难产。",一般人都可食用。适宜阴虚不足，头晕，贫血，老人燥咳无痰，大便干结，以及营养不良者食用。,湿热痰滞内蕴者、外感病人忌食；肥胖、血脂较高、高血压者慎食。,"1、猪肉的蛋白质属优质蛋白质，含有人体全部必需氨基酸。
2、猪肉富含铁，是人体血液中红细胞的生成和功能维持所必须的元素。
3、猪肉是维生素的主要膳食来源，特别是精猪肉中维生素B1的含量丰富。
4、猪肉中还含有较多的对脂肪合成和分解有重要作用的维生素B2。",肉禽类,,material,116
黄花鱼,黄鱼，有大小黄鱼之分。二者和带鱼一起被称为中国三大海产。主要产于东海和南海，以舟山群岛和广东南澳岛产量最多。大黄鱼在广东沿海的盛产期为10月、福建为12～3月、江苏、浙江为5月。大黄鱼的外观及肉质与小黄鱼很相似。大黄鱼体大鳞片小，嘴大且圆；大黄鱼尾柄较长窄，刺少，肉厚坚实，易离刺。,"1、抗衰老：黄花鱼能清除人体代谢产生的自由基，能延缓衰老，并对各种癌症有防治功效。
2、食养补气：黄花鱼有健脾开胃、安神止痢、益气填精之功效，对贫血、失眠、头晕、食欲不振及女性产后体虚有良好的疗效。
3、老年滋补佳品：常吃对人体有很好的补益作用，对体质虚弱和中老年人来说，食用黄花鱼会收到很好的食疗效果。",一般人群均可食用。,哮喘病人和过敏体质的人应慎食。,"1、黄鱼（黄花鱼又名黄鱼）含有丰富的蛋白质、微量元素和维生素，对人体有很好的补益作用，对体质虚弱和中老年人来说，食用黄鱼会收到很好的食疗效果;
2、黄鱼含有丰富的微量元素硒，能清除人体代谢产生的自由基，能延缓衰老，并对各种癌症有防治功效。",水产品,https://i3.meishichina.com/attachment/201511/24/14483498512789.jpg,material,117
奶油,奶油是从牛奶、羊奶中提取的黄色或白色脂肪性半固体食品。奶油的脂肪含量比牛奶增加了20～25倍，而其余的成分如非脂乳固体（蛋白质、乳糖）及水分都大大降低，是维生素A和维生素D含量很高的调料。,"1、奶油能增进人体低抗疾病的能力，促进代谢，增强活力，保护眼睛健康并保持肌肤健美。
2、奶油有利于维持人体肠道内正常菌群的稳定和平衡，防治便秘和腹泻。
3、奶油中的脂肪和热能都比较多，但是其胆固醇含量却比较低，对心血管健康也有有利的一面。",一般人群均可食用。,冠心病、高血压、糖尿病，动脉硬化患者忌食；孕妇和肥胖者尽量少食或不食。,"奶油奶油的脂肪含量比牛奶增加了20～25倍，而其余的成分如非脂乳固体（蛋白质、乳糖）及水分都大大降低，是维生素A和维生素D含量很高的调料。
",米面豆乳,https://i3.meishichina.com/attachment/201512/16/14502510553207.jpg,material,118
香肠,以猪或羊的小肠衣（也有用大肠衣的）灌入调好味的肉料干制而成。香肠一般指猪肉香肠，全国各地均有生产，名品有广东腊肠、四川宜宾广味香肠、山东招远香肠、武汉香肠、辽宁腊肠、贵州小香肠、济南南肠、正阳楼风干肠和江苏香肠等；按风味分，有五香香肠、玫瑰香肠、辣味香肠等，各有特色。,"1、开胃香肠可增进食欲，开胃消食。
2、驱寒暖胃香肠中含有脂肪等营养物，冬天食用能保暖抗寒、暖胃舒血。
3、提供能量香肠中营养物质丰富，热量高，食用少量便能满足人体对热量的需求。",一般人群均可食用。,儿童、孕妇、老年人、高血脂症者少食或不食；肝肾功能不全者不适合食用。,"每100克香肠营养成分：
能量508千卡蛋白质24.1克脂肪40.7克碳水化合物11.2克胆固醇82毫克硫胺素0.48毫克核黄素0.11毫克
烟酸4.4毫克维生素E1.05毫克钙14毫克磷198毫克钾453毫克钠2309.2毫克镁52毫克铁5.8毫克锌7.61毫克
硒8.77微克铜0.31毫克锰0.36毫克
以上数据参考自中国疾病预防控制中心营养与食品安全所所著的《中国食物成分表(2002)》，以上数据仅供参考，不得用于其他的用途。",肉禽类,https://i3.meishichina.com/attachment/201511/30/14488626038060.jpg,material,119
黄瓜,黄瓜，也称胡瓜、青瓜，属葫芦科植物。广泛分布于中国各地，并且为主要的温室产品之一。黄瓜是由西汉时期张骞出使西域带回中原的，称为胡瓜，五胡十六国时后赵皇帝石勒忌讳“胡”字，汉臣襄国郡守樊坦将其改为“黄瓜”。黄瓜的茎上覆有毛，富含汁液，叶片的外观有3-5枚裂片，覆有绒毛。,"1、抗肿瘤：黄瓜中含有的葫芦素C具有提高人体免疫功能的作用，达到抗肿瘤目的。此外，该物质还可治疗慢性肝炎和迁延性肝炎，对原发性肝癌患者有延长生存期作用。
2、抗衰老：黄瓜中含有丰富的维生素E，可起到延年益寿，抗衰老的作用；黄瓜中的黄瓜酶，有很强的生物活性，能有效地促进机体的新陈代谢。用黄瓜捣汁涂擦皮肤，有润肤，舒展皱纹功效。
3、防酒精中毒：黄瓜中所含的丙氨酸、精氨酸和谷胺酰胺对肝脏病人，特别是对酒精性肝硬化患者有一定辅助治疗作用，可防治酒精中毒。
4、降血糖：黄瓜中所含的葡萄糖甙、果糖等不参与通常的糖代谢，故糖尿病人以黄瓜代淀粉类食物充饥，血糖非但不会升高，甚至会降低。
5、减肥强体：黄瓜中所含的丙醇二酸，可抑制糖类物质转变为脂肪。此外，黄瓜中的纤维素对促进人体肠道内腐败物质的排除和降低胆固醇有一定作用，能强身健体。
6、健脑安神：黄瓜含有维生素B1，对改善大脑和神经系统功能有利，能安神定志，辅助治疗失眠症。",一般人群均可食用。尤适宜热病患者、肥胖、高血压、高血脂、水肿、癌症、嗜酒者、糖尿病人。,脾胃虚弱、腹痛腹泻、肺寒咳嗽者；肝病、心血管病、肠胃病患者慎食。,黄瓜这种蔬菜的营养价值是非常高的，并且含有丰富的我们人体所需要的各种营养物质的，黄瓜中富含蛋白质、钙、磷、铁、钾、胡萝卜素、维生素B2、维生素c、维生素E及烟酸等营养素。黄瓜所含的钾盐十分丰富，具有加速血液新陈代谢、排泄体内多余盐分的作用，故肾炎、膀胱炎患者生食黄瓜，对机体康复有良好的效果。黄瓜中所含的丙醇二酸，可抑制糖类物质转变为脂肪，所以适当的食用黄瓜，也是可以帮助我们大家预防发胖的情况的。,蔬菜,,material,120
味精,味精是调味料的一种，主要成分为谷氨酸钠。味精的主要作用是增加食品的鲜味，在中国菜里用的最多，也可用于汤和调味汁。,"1、缓解神经衰弱：味精中的主要成分谷氨酸钠还具有治疗慢性肝炎、肝昏迷、神经衰弱、癫痫病、胃酸缺乏等病的作用。
2、增加食物的鲜味：味精对人体没有直接的营养价值，但它能增加食品的鲜味，引起人们食欲，有助于提高人体对食物的消化率。",一般人群均可食用。,哮喘病患者、老人、儿童不宜食用。,"味精的主要成分是谷氨酸钠C5H8NO4Na,L-2-氨基戊二酸的单钠盐。谷氨酸是脑组织氧化代谢的氨基酸之一，对改进和维持丘脑的机能是十分重要的。正常人每日摄钠1-2克便可满足生理的需要（联合国推荐每人每天摄入食盐为8克以下，食盐主要成分为氯化钠），如过食则可造成体内水钠潴留，导致血管管腔变细，血管阻力加大，血容量增多，加重心、肾负担，致使血压升高。 另外，味精中还含有少量氯化钠NaCl",调味品,https://i3.meishichina.com/attachment/201601/4/14518918867132.png,material,121
鸡中翅,就是鸡翅膀中间的那一截,"1、美容养颜：大量的成胶原及弹性蛋白的，对于血管、皮肤及内脏颇具效果
2、促进身体发育：翅膀内所含大量的维生素A，远超过青椒。对视力、生长、上皮组织及骨骼的发育、精子的生成和胎儿的生长发育都是必需的。",一般人群均可食用，尤其适合老年人和儿童、感冒发热、内火偏旺、痰湿偏重之人。,患有热毒疖肿、高血压、血脂偏高、胆囊炎、胆石症患者忌食。,鸡翅含有多量可强健血管及皮肤的成胶原及弹性蛋白等，对于血管、皮肤及内脏颇具效果。翅膀内所含大量的维生素A，远超过青椒。对视力、生长、上皮组织及骨骼的发育、精子的生成和胎儿的生长发育都是必需的。,肉禽类,,material,122
青蒜,又名蒜苗。青蒜是大蒜青绿色的幼苗，以其柔嫩的蒜叶和叶鞘供食用。品质好的青蒜应该鲜嫩，株高在35厘米以上，叶色鲜绿，不黄不烂，毛根白色不枯萎，而且辣味较浓。,"1、杀菌抑菌：青蒜的辣味主要来自于其含有的辣素，这种辣素除具有醒脾气、消积食的作用外，还有良好的杀菌、抑菌作用，对流感、肠炎等因环境污染而引起的疾病，有很好的预防作用。
2、预防血栓：青蒜具有明显的降血脂及预防冠心病和动脉硬化的作用，并可防止血栓的形成。
3、预防癌症：蒜苗能保护肝脏，诱导肝细胞脱毒酶的活性，可以阻断亚硝胺致癌物质的合成，从而对预防癌症有一定的作用。",一般人群均可食用，肝细胞受损和癌症患者可以多食。,消化功能不佳者和眼病患者应少食或不食。,"青蒜中含有蛋白质、胡萝卜素、硫胺素、核黄素等营养成分。它的辣味主要来自于其含有的辣素，这种辣素具有醒脾气、消积食的作用。还有良好的杀菌、抑菌作用，能有效预防流感，肠炎等因环境污染引起的疾病。青蒜对于心脑血管有一定的保护作用，可预防血栓的形成，同时还能保护肝脏，诱导肝细胞脱毒酶的活性，可以阻断亚硝胺致癌物质的合成，对预防癌症有一定的作用。
",蔬菜,,material,123
大白菜,白菜原产于我国北方，是十字花科芸薹属叶用蔬菜，通常指大白菜；也包括小白菜以及由甘蓝的栽培变种结球甘蓝，即“圆白菜”或“洋白菜”。引种南方，南北各地均有栽培。十九世纪传入日本、欧美各国。白菜种类很多，北方的大白菜有山东胶州大白菜、北京青白、天津青麻叶大白菜、东北大矮白菜、山西阳城的大毛边等。,"1、增强抵抗力：白菜为身体增强抵抗力，既有预防感冒及消除疲劳的功效。
2、解渴利尿：白菜干甜味、较淡、热量也较低，含有β-胡萝卜素、铁、镁，能提升钙质吸收所需的成分，另外白菜中的钾能将盐分排出体外有利尿作用。
3、通利肠胃：过炖煮后的白菜有助于消化，因此最适合肠胃不佳和或病患者食用。",一般人群均可食用。尤为适宜患慢性习惯性便秘、伤风感冒、肺热咳嗽、喉发炎、腹胀及发热者。,寒性体质、肠胃功能不佳、慢性肠胃炎患者慎食。,"1、白菜含有丰富的粗纤维，不但能起到润肠、促进排毒的作用又刺激肠胃蠕动，促进大便排泄，帮助消化的功能。对预防肠癌有良好作用。
2、秋冬季节空气特别干燥，寒风对人的皮肤伤害极大。白菜中含有丰富的维生素C、维生素E，多吃白菜，可以起到很好的护肤和养颜效果。
3、美国纽约激素研究所的科学家发现，中国和日本妇女乳腺癌发病率之所以比西方妇女低得多，是由于她们常吃白菜的缘故。白菜中有一些微量元素，它们能帮助分解同乳腺癌相联系的雌激素。
",蔬菜,https://i3.meishichina.com/attachment/201404/8/13969472826363.jpg,material,124
辣白菜,"辣白菜是朝鲜族世代相传的一种佐餐食品,是地道的朝鲜风味,在当地很受欢迎。辣白菜的特点是辣,脆、酸、甜,色白带红,四季皆宜。通常和米饭一起食用。","1、抗菌作用：辣白菜的经发酵产生的乳酸菌具有酸酸的味道，食用之后可以遏制人体肠内有害菌的作用。
2、纤维素可预防肠炎、结肠炎：辣白菜的原材料本身含有大量的纤维素，可预防便秘和肠炎或结肠炎等肠道疾患。
3、乳酸菌调节作用：辣白菜含有的乳酸菌具有遏制肠内有害细菌的繁殖、促进分解胃内蛋白质的“酸青酶”的分泌、调节肠内微生物正常分布等作用。
4、预防酸中毒症：辣白菜可以预防因食用过多的肉类等酸性食物而引起血液酸化从而导致的酸中毒症，是一种碱性食品。
5、预防成人疾病：辣白菜也可预防肥胖、高血压、糖尿病及消化系统癌等成人疾病
6、抗动脉硬化及抗酸化、抗老化的功能：辣白菜具有减少血液中胆固醇含量、促进纤维蛋白的分解等功能，具有预防动脉硬化的效果。辣白菜也具有降低肝脏脂肪浓度的效果。辣白菜中含有的维生素C、胡萝卜素、酚类氧化物、叶绿素等成分具有抗酸化作用，可抑制老化，特别是在抗皮肤老化方面具有成效。辣白菜的抗酸化作用在发酵的不同阶段有些差异，而发酵适当时期的抗酸化作用是最高的。
7、辣白菜的抗癌效果：辣白菜的主原料白菜、大蒜等原材料具有预防大肠癌及胃癌的效果。",一般人都可适当食用。,婴幼儿、肠胃虚弱者、忌辣人群忌食。,"辣白菜中含有钙、铜、磷、铁等丰富的无机物，能促进维生素C和维生素B的吸收。
",蔬菜,,material,125
米饭,米是五谷之首，米饭更是人们日常饮食中的主角之一；一味米饭，与五味调配，几乎可以供给全身所需营养。,有补中益气、健脾养胃、益精强志、和五脏、通血脉、聪耳明目、止烦、止渴、止泻的功效。,一般人群均可食用。,糖尿病患者不宜多食。,米饭的主要成分是碳水化合物，维持大脑功能必须的能源。还很有丰富的B族维生素和铜，铜是人体健康不可缺少的微量营养素，对于血液、中枢神经和免疫系统，头发、皮肤和骨骼组织以及脑子和肝、心等内脏的发育和功能有重要影响。,米面豆乳,https://i3.meishichina.com/attachment/201512/29/14513747354295.jpg,material,126
芝麻,芝麻又叫胡麻、脂麻、乌麻等，属脂麻科一年生草本植物。味甘性平，具有补血明目，益肝养发，生津通乳，润肠通便，美容养颜，延年益寿等功能，被人们誉为“抗衰果”。 现代研究表明，芝麻中含有丰富的营养，芝麻的脂肪油含量达61.7％左右，是我国四大食用油料作物的佼佼者，芝麻油中以油酸、亚油酸、棕榈酸、甘油脂为主要成分；含蛋白质21.9％，氨基酸种类与瘦肉相似；还含有芝麻素、脂麻油酚、卵磷脂、蔗糖、多缩戊糖及钙、磷、铁等物质和维生素A、D、E等。,"1、防治皮肤炎症：可使皮肤白皙润泽，并能防治各种皮肤炎症。
2、养血护肤：可以治疗皮肤干枯、粗糙、令皮肤细腻光滑、红润光泽。
3、滋补养生：补班、养发、生津、通乳、润肠。
4、通便：润肠通便，对肠液减少引起的便秘，单独应用即有效验。
5、促进骨骼发育：经常食用对骨骼、牙齿的发育都大有益处。
6、延年益寿：可强壮身体、益寿延年、滋补肝肾、润养脾肺。
7、预防高血压：芝麻中人体必需脂肪酸含量很高，预防高血压的效果很好。
8、护发：助消化、维护皮肤、头发健康",尤适宜肝肾不足所致的眩晕、眼花、视物不清、腰酸腿软、耳鸣耳聋、发枯发落、头发早白之人。,患有慢性肠炎、便溏腹泻者忌食。,据测定，芝麻含有多种营养物质，每百克芝麻含蛋白质21.90克，脂肪61.70克，钙564.00毫克，磷368.00毫克；特别是铁的含量极高，每百克可高达50.00毫克。因此，古人说芝麻能“填精”、“益髓”、“补血”的功效。,果品,,material,127
面条,"又名面、水面、面条子。
面条古称“汤饼”、“奢面”、“素饼”、“煮饼”、“水引饼”、“不托”等；面条一词是后来才有的；据考证，我国面条起源于汉代，至今已有2000多年的历史，因面条要在“汤”中煮熟，所以又叫“汤饼”。早期的面条有片状的、条状的。片状的是将面团托在手上，拉扯成面片下锅而成。到了魏、晋、南北朝，面条的种类增多。著名的有《齐民要术》中收录的“水引”、“水引”是将筷子般粗的面条压成“韭叶”形状。","1、养胃：吃碗温热的面条最有利于营养吸收; 易于消化吸收经过煮沸的面条最为洁净，可以大大减少肠胃疾病的发生，因此面条成为中国最常见的食品之一。
2、增强免疫力：口感筋道的面条所含的蛋白质更多，能补充人体所需的营养。蛋白质是维持免疫机能最重要的营养素，为构成白血球和抗体的主要成份; 
3、改善贫血，促进人体气血运行; ",一般人群皆可食用。,病湿热者忌食面条。,面条的主要营养成分有蛋白质、脂肪、碳水化合物等；面条易于消化吸收，有改善贫血、增强免疫力、平衡营养吸收等功效。,米面豆乳,https://i3.meishichina.com/attachment/201512/17/14503455451211.jpg,material,128
梅豆角,梅豆角又称扁豆，北方也有地区称之为气豆。一年生草本植物，茎蔓生，小叶披针形，花白色或紫色，荚果长椭圆形，扁平，微弯。种子白色或紫黑色。嫩荚是普通蔬菜，种子可入药。,"1、增进食欲：梅豆角所含B族维生素能维持正常的消化腺分泌和胃肠道蠕动的功能，抑制胆碱酶活性，可帮助消化，增进食欲。
2、防治肠胃炎：梅豆角中所含的维生素C可以促进人体抗体的合成，可以提高人体的抗体病毒作用，还可以防止急性肠胃炎，呕吐腹泻。
3、补充营养：梅豆角提供了易于消化吸收的优质蛋白质，适量的碳水化合物及多种维生素、微量元素等，可补充机体的招牌营养素。
",一般人皆可食用。,无。,"梅豆角含有丰富的维生素B、和维生素C和植物蛋白质，能够使人头脑清晰，有调理消化系统、消除胸膈胀满、解渴健脾、补肾止泄、益气生津的功效。
",蔬菜,,material,129
西红柿,番茄(tomato)别名西红柿、洋柿子，古名六月柿、喜报三元。果实营养丰富，具特殊风味。可以生食、煮食、加工制成番茄酱、汁或整果罐藏。番茄是全世界栽培最为普遍的果菜之一。 美国、苏联、意大利和中国为主要生产国。在欧、美洲的国家、中国和日本有大面积温室、塑料大棚及其他保护地设施栽培。中国各地普遍种植。栽培面积仍在继续扩大。,"1、减缓色斑延缓衰老：补充番茄红素，抵抗衰老，增强免疫系统，减少疾病的发生。番茄红素还能降低眼睛黄斑的退化、减少色斑沉着。
2、抗癌：番茄红素能够有效预防前列腺癌、消化道癌、肝癌、肺癌、乳腺癌、膀胱癌、子宫癌、皮肤癌等。
3、降脂降压：降低血压经常发生牙龈出血或皮下出血的患者，吃番茄有助于改善症状。
4、防止血栓的发生：患冠心病及中风的病人每天适量饮用番茄汁有益于病的康复。
5、健胃消食：有助消化、润肠通便作用，可防治便秘。",一般人群均可食用。,急性肠炎、菌痢及溃疡活动期病人不宜食用。,"番茄含有对心血管具有保护作用的维生素和矿物质元素，能减少心脏病的发作。
番茄红素具有独特的抗氧化能力，能清除自由基，保护细胞，使脱氧核糖核酸及基因免遭破坏，能阻止癌变进程。西红柿除了对前列腺癌有预防作用外，还能有效减少胰腺癌、直肠癌、喉癌、口腔癌、肺癌、乳腺癌等癌症的发病危险。
番茄中的维C，有生津止渴，健胃消食，凉血平肝，清热解毒，降低血压之功效，对高血压、肾脏病人有良好的辅助治疗作用。多吃番茄具有抗衰老作用，使皮肤保持白皙。
尼克酸能维持胃液的正常分泌，促进红血球的形成，有利于保持血管壁的弹性和保护皮肤。所以食用西红柿对防治动脉硬化、高血压和冠心病也有帮助。西红柿多汁，可以利尿，肾炎病人也宜食用。
经常发生牙龈出血或皮下出血的患者，吃番茄有助于改善症状。
番茄所含的苹果酸或柠檬酸，有助于胃液对脂肪及蛋白质的消化。
",蔬菜,,material,130
红枣,红枣又名枣、干枣、枣子，起源于中国，在中国已有八千多年的种植历史，自古以来就被列为“五果”（栗、桃、李、杏、枣）之一。,"1、抗癌抗癌：枣能提高人体免疫力，并可抑制癌细胞，降低血清胆固醇，提高血清白蛋白，保护肝脏。
2、降血压、降胆固醇：大枣有降低血糖和胆固醇含量等作用。
3、保肝护肝：大枣有保护肝脏、增强体力的作用。
4、预防骨质疏松：大枣对防治骨质疏松产贫血有重要作用。",一般人群均可食用。尤适宜心血管疾病、癌症患者。,肝炎患者忌食。,"大枣被誉为“百果之王”，含有丰富的维生素A, B族维生素、维生素C等人体必需的多种维生素和18种氨基酸、矿物质。其中维生素C的含量竞高达葡萄、苹果的70-80倍，维生素P的含量也很高，这两种维生素对防癌和预防高血压、高血脂都有一定作用。大枣对女性朋友具有特殊的养血安神、美容的作用，每天用3-5颗大枣泡水喝，具有养血美容的功效。",果品,https://i3.meishichina.com/attachment/201512/29/14513791383339.jpg,material,131
糯米粉,糯米粉别名：糯米面。水磨糯米粉是以柔软、韧滑、香糯而著称，它可以制作汤团、元宵之类食品和家庭小吃。含有维生素B1、维生索B2、蛋白质、脂肪、糖类、钙、磷、铁、烟酸及淀粉等，营养丰富，为温补强壮食品。,"1、滋补佳品：有补虚、补血、健脾暖胃、止汗等作用。
2、缓解脾胃虚寒：适用于脾胃虚寒所致的反胃、食欲减少、泄泻和气虚引起的汗虚、气短无力、妊娠腹坠胀等症。
3、缓解尿频症状
4、糯米有收涩作用，对尿频、自汗有较好的食疗效果。",一般人群皆可食用。,脾胃虚寒、消化功能不佳的人不宜食用。,糯米含有蛋白质、脂肪、糖类、钙、磷、铁、维生素B1、维生索B2、烟酸及淀粉等，营养丰富，为温补强壮食品。,米面豆乳,https://i3.meishichina.com/attachment/201512/16/14502506232096.jpg,material,132
红糖,红糖通常是指带蜜的甘蔗成品糖，一般是指甘蔗经榨汁，通过简易处理，经浓缩形成的带蜜糖。红糖按结晶颗粒不同，分为赤砂糖、红糖粉、碗糖等，因没有经过高度精练，它们几乎保留了蔗汁中的全部成分，除了具备糖的功能外，还含有维生素和微量元素，如铁、锌、锰、铬等，营养成分比白砂糖高很多。,"1、妇女因受寒体虚所致的痛经等症或是产后喝些红糖水，有补血活血的作用，在受寒腹痛时，也常用红糖姜汤来祛寒。
2、红糖对老年体弱，特别是大病初愈的人，还有极好的疗虚进补作用。
3、红糖对血管硬化能起到一定治疗作用，且不易诱发龋齿等牙科疾病。",一般人群均可食用。,老年人、阴虚内热者不宜多吃红糖，糖尿糖患者忌食。,"1.红糖营养丰富，释放热量快，营养吸率高，除含蔗糖以外，还含有少量的铁、钙、葫胡萝卜素等物质。
2.红糖的热量和精致糖的热量接近。
3.红糖中钙含量越是白糖的10倍，含铁是白糖的3.6倍。",调味品,https://i3.meishichina.com/attachment/201512/22/1450780571203.jpg,material,133
细砂糖,糖是用甘蔗或甜菜等植物加工而成的一种调味品，其主要成分是蔗糖。广东、福建、台湾等省和东北地区是我国主要产糖区。糖是重要的调味品，能增加菜肴的甜味及鲜味，增添制品的色泽，为制作菜肴特别是甜菜品种的主要调味原料。,砂糖味甘、性平，归脾、肺经。有润肺生津、止咳、和中益肺、舒缓肝气、滋阴、调味、除口臭、疗疮去酒毒、解盐卤毒之功效。适当食用白糖可提高人体对钙的吸收，提供机体能量，维持心脏和神经系统正常功能，保肝解毒。现代医学研究发现，白糖还能改变伤口愈合的速度，可促进组织细胞的的生长。,一般人群均可食用。,糖尿病、高血压、肾病、肥胖症患者忌食。,"1. 适当食用白糖有助于提高机体对钙的吸收，但过多就会妨碍钙的吸收；
2. 吃糖后应及时漱口或刷牙，以防龋齿的产生；",调味品,https://i3.meishichina.com/attachment/201512/23/14508559825561.jpg,material,134
可可粉,"天然可可粉是从天然咖啡(可可)豆中提取、精制而成的棕褐色粉末，味甜，香味浓郁。
可可粉是经清杂、焙炒、脱壳、磨浆、压榨、制粉等工序精制而成。香味纯正，粉质细腻，无杂质、无焦粒。 可用于高档巧克力、冰淇淋、糖果、糕点及其它含可可的食品。",可可粉中的化学成份可以有效治疗心脏病、糖尿病、高血压以及血管性失智症等疾病。,一般人群均可食用。,胃病患者不宜食用。,"含有蛋白质、多种氨基酸、高热量脂肪、铜、铁、锰、锌、磷、钾、多种维生素A、维D、维E、维B1、维B2、维B6及具有多种生物活性功能的生物碱。主要用于调色或增香。
天然可可粉中生物碱具有健胃、刺激胃液分泌，促进蛋白质消人，减少抗生素不能解决的营养性腹泻，促进乳仔猪采食。",调味品,https://i3.meishichina.com/attachment/201512/22/14507683177482.jpg,material,135
淡奶油,淡奶油也叫稀奶油，一般都指可以打发裱花用的动物奶油，脂肪含量一般在35%，打发成固体状后就是蛋糕上面装饰的奶油了。相对于植物奶油更健康，因为没有加糖，所以称之为淡奶油。打发的时候要加糖。用法跟植物性奶油基本一样，但是溶点比植物奶油要低一些，可用来制作奶油蛋糕、冰淇淋、慕斯蛋糕、提拉米苏等，如果做面包的时候加一些，也会让您的面包更加松软。,"1、奶油能增进人体低抗疾病的能力，促进代谢，增强活力，保护眼睛健康并保持肌肤健美。
2、奶油有利于维持人体肠道内正常菌群的稳定和平衡，防治便秘和腹泻。
3、奶油中的脂肪和热能都比较多，但是其胆固醇含量却比较低，对心血管健康也有有利的一面。",一般人群均可食用。,冠心病、高血压、糖尿病，动脉硬化患者忌食；孕妇和肥胖者尽量少食或不食。,"奶油的脂肪含量比牛奶增加了20～25倍，而其余的成分如非脂乳固体（蛋白质、乳糖）及水分都大大降低，奶油在人体的消化吸收率较高，可达95％以上，是维生素A和维生素D含量很高的调料。
",米面豆乳,https://i3.meishichina.com/attachment/201511/11/14472207081010.jpg,material,136
奥利奥,,,,,,,,material,137
